note,100m,120m,150m,200m,250m,2km campestre,300m,400m,40m,50m,60m,80m,alto,date,giavellotto,livello,lungo,luogo,organizzatore,tempo,tipo
time,12.50,,,,,,,,,,,,,10 October 2024,,,,,,cronometro,
time,,,19.5,,,,,,,,,,,17 October 2024,,,,,,cronometro,
allenamento,,,,25.2,,,,,,,,,,24 October 2024,,,,,,cronometro,
velocità corta,,,,,,,,,6.1,,8.9,,,2 November 2024,,,,,,cronometro,
gara regionale,12.10,,,,,,,,,,,,,9 November 2024,,regionale,,"Città A",fidal,elettronico,outdoor
gara provinciale,,,,24.30,,,,,,,,,,16 November 2024,,provinciale,,"Città B",csi,elettronico,outdoor
salto,,,,,,,,,,,,,165,23 November 2024,,,,"Città A",,,,
lancio,,,,,,,,,,,,,,30 November 2024,22.5,provinciale,,"Città C",csi,elettronico,outdoor
campestre,,,,,,8.45,,,,,,,,7 December 2024,,,,"Città D",,,
gara indoor,,,,24.85,,,,,,,,,,11 January 2025,,regionale,,"Palaindoor",fidal,elettronico,indoor
